filename,region,genotype,seedling,zslice,total_area,integrated_intensity,mean_intensity
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z07c1.tif,meristem,control,13,7,75808.0,1063236.0,14.025379907133813
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z08c1.tif,meristem,control,13,8,95083.0,1314694.0,13.826803950232954
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z09c1.tif,meristem,control,13,9,106313.0,1307701.0,12.300480656175631
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z10c1.tif,meristem,control,13,10,97326.0,1140079.0,11.714022974333682
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z11c1.tif,meristem,control,13,11,101010.0,996682.0,9.867161667161668
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z12c1.tif,meristem,control,13,12,50784.0,717950.0,14.137326717076245
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z13c1.tif,meristem,control,13,13,47840.0,554789.0,11.596760033444816
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z14c1.tif,meristem,control,13,14,24242.0,266630.0,10.998679976899595
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z15c1.tif,meristem,control,13,15,14875.0,215150.0,14.463865546218488
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z16c1.tif,meristem,control,13,16,22314.0,218749.0,9.803217710854172
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z17c1.tif,meristem,control,13,17,35445.0,266782.0,7.526646917759909
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z18c1.tif,meristem,control,13,18,44779.0,335885.0,7.500949105607539
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z19c1.tif,meristem,control,13,19,44131.0,414038.0,9.38202170809635
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z20c1.tif,meristem,control,13,20,51895.0,501061.0,9.655284709509587
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z21c1.tif,meristem,control,13,21,45987.0,463941.0,10.088525017939853
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z22c1.tif,meristem,control,13,22,36059.0,436315.0,12.100030505560332
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z23c1.tif,meristem,control,13,23,32440.0,321571.0,9.912792848335389
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z24c1.tif,meristem,control,13,24,36927.0,191509.0,5.186151054783762
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z25c1.tif,meristem,control,13,25,37884.0,208031.0,5.491262802238412
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z26c1.tif,meristem,control,13,26,55303.0,168263.0,3.0425655027756178
